ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
2372,-8240,14656,28.95,-9981,-365,2241,0,495,938,-9152,7440,14000,27.87,5851,12472,-2217,396,488,286
1312,-13484,7400,28.86,-29379,-10121,11931,0,464,883,-7752,304,5764,27.92,-3155,-2015,-802,367,341,40
124,-10036,292,28.86,7196,718,214,0,301,707,-10412,11348,18108,27.97,1357,-8184,5822,758,474,593
-380,-8360,17836,28.91,25870,1171,-12944,0,306,809,-2248,7520,14944,28.01,696,-857,237,912,690,756
3856,-10152,13576,28.91,-661,1387,56,1,666,897,-3132,6980,14628,27.87,-179,852,-608,910,753,803
3192,-8484,14196,28.91,-3762,4599,4323,0,673,936,-3536,6076,14416,27.82,-1063,382,-147,853,727,790
236,-8612,11936,28.81,-7263,-2923,-336,0,456,863,-4360,8364,17204,27.92,9994,12746,-4707,459,538,678
3220,-14604,9388,28.77,-10072,-3481,1245,0,432,653,-4184,5584,7628,27.92,888,-2764,4875,372,348,105
4508,-1944,7036,28.86,6685,880,-4972,0,334,431,3856,2648,10700,28.01,-5351,-10692,5709,368,341,261
5748,5540,18824,28.81,16991,1570,-2440,0,249,676,-3020,2824,15040,27.87,1132,-153,-1024,830,682,698
2172,-8756,12980,28.86,2215,-2656,-1239,0,736,919,-3292,8308,14508,27.97,782,-451,-246,917,786,783
3500,-8492,13636,28.81,-3178,3659,2633,0,744,946,-3572,7288,14032,27.97,-3426,1077,-711,918,790,776
3084,-9940,12236,28.81,-2642,-1051,-943,0,688,893,-2520,3260,14660,27.82,-1388,-303,281,892,756,712
5480,-12260,13840,28.86,-16703,-2685,1325,0,444,770,-4368,6812,16420,27.87,6805,11452,-2395,470,561,645
3108,-9020,2636,28.81,-3283,-57,4018,0,407,472,-4468,5564,9272,27.92,-1817,-5377,498,350,323,86
3920,-10816,13504,28.81,16944,7623,-7532,0,338,715,-4132,1072,18400,27.87,-6738,-9159,2566,334,401,250
4424,-10316,14072,28.81,185,2078,546,0,709,887,-4812,8296,13912,27.82,1897,-2281,-188,878,692,642
3452,-8916,13680,28.72,-1233,2398,1589,0,773,945,-3128,7304,14476,27.92,-1225,351,-393,925,763,701
1264,-8192,14016,28.77,-2454,544,830,0,643,930,-3144,5976,14288,27.87,-5280,931,-367,921,755,689
3288,-8512,17412,28.86,-24871,-4778,7675,0,478,918,-2200,4404,16204,27.97,3251,2714,-681,790,721,685
-1320,-13312,-604,28.72,-958,-1495,-190,0,364,818,-7452,5360,11880,27.97,1753,8148,-2365,374,441,281
1116,-9880,11204,28.81,23684,201,-9309,0,311,844,-9556,-76,6892,27.87,-3315,822,-4887,361,315,69
10608,-456,21048,28.86,3998,299,1,0,715,940,-4520,5976,13804,27.97,3050,-10149,5812,511,353,691
4168,-8680,13868,28.81,-958,1899,1126,0,790,966,-3004,6312,15204,27.82,997,-782,384,888,589,786
1888,-8708,12432,28.81,-2943,2906,2570,0,656,958,-3416,7164,14376,27.87,-1724,673,-672,904,628,814
2008,-7172,18176,28.86,-8655,-2976,1040,6,499,928,-3080,5168,14604,27.87,-2328,19,120,870,597,799
1596,-15580,3604,28.72,-5348,-3988,428,0,437,633,-652,9356,18196,27.92,10471,17911,-5553,447,461,778
-616,-3360,2648,28.81,2797,9089,5666,0,313,478,-6016,6724,7564,27.97,1263,-3161,2458,358,332,103
2908,-11860,13632,28.72,15836,2679,-7334,0,379,831,-4372,8696,17408,27.87,-5079,-12715,5961,362,311,493
3548,-9232,13236,28.91,406,-881,-1106,0,748,914,-4892,1964,15240,27.87,-229,284,-1284,748,487,766
3288,-8428,13236,28.81,-2382,2964,1886,0,725,925,-3420,6032,14668,27.97,1087,-840,63,868,518,817
1768,-8820,15440,28.77,-3781,-2824,-479,0,569,920,-3356,6916,14248,27.82,-1441,657,-266,880,558,832
2276,-14028,7312,28.86,-17665,-6770,4537,0,468,796,-2984,5592,14716,27.82,1114,584,230,764,521,829
-1300,-6132,3184,28.81,7027,1143,-1263,1,369,481,-6752,6712,15788,27.87,5710,16454,-4237,359,386,695
2556,-8096,15488,28.77,17897,1052,-7679,0,266,832,-4916,5724,8012,27.92,-1551,-7345,5662,339,359,111
1136,-7452,13776,28.81,2758,897,1130,0,772,931,-6456,1352,19048,27.92,-6997,-10977,5073,321,288,425
4392,-8848,13636,28.81,-638,1103,419,0,831,964,-5480,8380,13216,27.87,-126,-1246,263,836,498,752
2864,-8368,12672,28.81,-1395,2395,1785,0,771,958,-3256,6732,14824,27.92,-791,32,-140,906,564,808
3636,-6736,18540,28.77,-12140,-4718,1935,0,516,933,-3240,5484,14432,27.87,-4033,797,-216,905,569,799
-1488,-17748,1712,28.81,-6468,-3945,1765,0,446,642,-2808,6128,15428,27.87,2465,1438,-425,789,514,797
4256,-4320,8032,28.86,6288,7667,2602,0,307,454,-8652,6208,13036,27.78,5090,14147,-2859,351,413,574
